Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Bmi_Category,dutration_min,calories_per_min,workout_intensity
23,Male,114.8,1.6,182,163,60,1.47,1318,Cardio,21.7,2.7,4,2,44.84,Overweight,88.2,14.94331066,High
59,Female,65.5,1.52,161,162,61,1.4,1021,Yoga,31.2,2.1,3,2,28.35,Obese,84,12.1547619,High
21,Female,50.3,1.52,171,154,67,1.08,832,Cardio,32.2,2.6,3,1,21.77,Normal,64.8,12.83950617,High
46,Female,61,1.71,181,153,61,1.67,1150,Cardio,17.8,2.7,4,3,20.86,Normal,100.2,11.47704591,High
35,Female,44.6,1.62,196,157,65,0.56,440,HIIT,32.4,2,2,1,16.99,Underweight,33.6,13.0952381,Medium
43,Female,58.2,1.61,179,124,54,1.04,580,Strength,26.4,2.6,3,2,22.45,Normal,62.4,9.294871795,High
51,Female,44.8,1.63,198,137,69,1.08,666,Yoga,33.8,2.1,4,2,16.86,Underweight,64.8,10.27777778,High
27,Male,87.5,1.63,183,135,74,1.75,1299,Strength,12.9,3.5,5,3,32.93,Overweight,105,12.37142857,High
53,Male,51.8,1.74,179,127,61,1.23,773,Strength,21.3,3.7,3,2,17.11,Underweight,73.8,10.47425474,High
31,Female,64.4,1.7,160,144,70,1.97,1418,Strength,17.3,2.7,5,3,22.28,Normal,118.2,11.99661591,High
48,Female,67.1,1.61,160,151,74,0.62,421,Cardio,33.4,1.5,2,1,25.89,Obese,37.2,11.3172043,Medium
32,Male,85.9,1.6,176,145,60,1.99,1587,HIIT,14.5,3.5,5,3,33.55,Overweight,119.4,13.29145729,High
25,Female,65.4,1.77,160,141,58,0.89,627,Cardio,27.6,2.6,3,1,20.88,Normal,53.4,11.74157303,Medium
31,Female,61.1,1.76,189,150,67,1.81,1358,Yoga,18.6,2.7,4,3,19.72,Normal,108.6,12.50460405,High
40,Male,106.5,1.65,162,162,74,1.32,1176,HIIT,21,3.6,4,2,39.12,Overweight,79.2,14.84848485,High
57,Female,64,1.52,170,129,52,1.73,1004,Strength,15.2,2.7,5,3,27.7,Obese,103.8,9.672447013,High
38,Female,61.4,1.54,183,131,69,1.47,963,HIIT,30.6,2.7,3,2,25.89,Obese,88.2,10.91836735,High
33,Female,40.5,1.63,181,147,66,1.07,786,Yoga,31.9,1.5,4,2,15.24,Underweight,64.2,12.24299065,High
35,Male,70.1,1.79,185,125,63,1.08,743,Cardio,28,2.3,3,2,21.88,Normal,64.8,11.46604938,High
41,Male,94.1,1.62,172,139,50,1.13,777,Cardio,23.4,3.1,4,2,35.86,Overweight,67.8,11.46017699,High
43,Male,55.5,1.82,160,124,66,1.08,663,Strength,20.1,2,3,1,16.76,Underweight,64.8,10.23148148,High
42,Female,53.7,1.72,183,142,74,1.37,875,Cardio,29.8,1.6,3,1,18.15,Underweight,82.2,10.64476886,High
58,Female,66.1,1.75,169,128,57,0.63,363,Cardio,25.2,1.8,2,1,21.58,Normal,37.8,9.603174603,Medium
46,Male,103.9,1.77,194,148,54,1.18,864,Yoga,20.9,2.9,2,1,33.16,Overweight,70.8,12.20338983,High
32,Female,61.7,1.58,183,135,54,1.87,1262,HIIT,16.6,2.7,5,3,24.72,Normal,112.2,11.24777184,High
18,Female,52.3,1.74,187,165,58,1.2,990,Cardio,29.4,2.2,2,1,17.27,Underweight,72,13.75,High
42,Female,59.5,1.74,195,141,52,1.78,1129,Yoga,16.4,2.7,5,3,19.65,Normal,106.8,10.57116105,High
24,Female,72.9,1.76,175,127,68,0.86,546,Yoga,30.8,1.5,3,1,23.53,Normal,51.6,10.58139535,Medium
26,Female,76.7,1.63,199,139,72,1.08,751,Strength,25.6,1.7,2,1,28.87,Obese,64.8,11.58950617,High
41,Male,72.1,1.83,175,133,58,1.13,744,Yoga,21.4,2.8,3,2,21.53,Normal,67.8,10.97345133,High
18,Female,54.8,1.68,176,158,71,1.27,1003,Strength,32,2.2,4,2,19.42,Normal,76.2,13.16272966,High
25,Male,105,1.88,174,156,67,1.34,1150,Cardio,21.4,2.3,3,2,29.71,Obese,80.4,14.30348259,High
41,Female,55,1.55,175,169,65,1.45,1103,Strength,31.4,2,4,2,22.89,Normal,87,12.67816092,High
28,Male,81.6,1.66,174,153,50,1.09,917,Yoga,20.5,3.5,4,2,29.61,Obese,65.4,14.02140673,High
34,Female,75.6,1.6,193,130,51,0.64,416,HIIT,29.1,2.7,2,1,29.53,Obese,38.4,10.83333333,Medium
25,Male,81.5,1.61,170,159,63,1.93,1688,HIIT,10.9,3.5,4,3,31.44,Overweight,115.8,14.57685665,High
52,Female,61.5,1.69,160,152,63,1.8,1231,Cardio,15.5,2.7,4,3,21.53,Normal,108,11.39814815,High
52,Male,74,1.63,174,150,50,1.26,936,Cardio,25.7,3.7,3,2,27.85,Obese,75.6,12.38095238,High
50,Female,56.4,1.59,185,163,74,1.26,924,HIIT,34.3,2.6,3,1,22.31,Normal,75.6,12.22222222,High
22,Male,102.6,1.84,163,153,65,1.25,1052,Strength,20.5,2.7,3,2,30.3,Overweight,75,14.02666667,High
59,Female,54.6,1.57,164,169,64,0.58,441,Cardio,29.2,2.3,3,1,22.15,Normal,34.8,12.67241379,Medium
56,Male,129,1.78,194,126,64,1.29,805,Yoga,27.1,2.7,2,1,40.71,Overweight,77.4,10.4005168,High
58,Male,103.5,1.66,172,168,61,1.33,1106,Cardio,24.6,3.1,3,1,37.56,Overweight,79.8,13.85964912,High
45,Female,59.4,1.51,169,142,65,1.15,735,Strength,33.1,1.9,4,2,26.05,Obese,69,10.65217391,High
24,Female,60.1,1.79,170,165,63,1.97,1625,Cardio,15.9,2.7,4,3,18.76,Normal,118.2,13.74788494,High
26,Male,77.7,1.62,177,126,73,1.16,804,Yoga,29.6,3,3,2,29.61,Obese,69.6,11.55172414,High
25,Female,41.2,1.62,193,144,64,1.49,1073,Yoga,28.9,2.1,4,2,15.7,Underweight,89.4,12.00223714,High
29,Male,58.6,1.61,198,122,72,1.2,805,Yoga,23.4,2,3,2,22.61,Normal,72,11.18055556,High
51,Male,109.3,1.78,182,157,64,0.54,420,Strength,28.7,3.3,3,1,34.5,Overweight,32.4,12.96296296,Medium
50,Male,69.6,1.96,166,139,68,0.97,667,Strength,25.6,2,3,1,18.12,Underweight,58.2,11.4604811,Medium
40,Female,56.2,1.79,198,153,57,1.79,1369,Yoga,17.6,2.7,5,3,17.54,Underweight,107.4,12.74674115,High
41,Male,71.7,1.96,162,168,51,0.51,424,Yoga,27.3,2.5,2,1,18.66,Normal,30.6,13.85620915,Medium
54,Male,86,1.93,171,163,51,1.74,1404,Strength,12.9,3.5,5,3,23.09,Normal,104.4,13.44827586,High
52,Female,79.4,1.59,166,163,59,1.39,1020,Strength,26.6,1.5,3,2,31.41,Overweight,83.4,12.23021583,High
57,Female,78.4,1.62,185,149,52,1.01,677,Strength,31.7,2,4,2,29.87,Obese,60.6,11.17161716,High
39,Female,55.4,1.6,192,136,72,1.44,979,HIIT,26.3,1.6,3,2,21.64,Normal,86.4,11.33101852,High
44,Female,61.7,1.55,196,129,66,1.41,819,Strength,33.1,2.6,4,2,25.68,Obese,84.6,9.680851064,High
52,Male,85.5,1.82,174,154,57,1.78,1357,Yoga,14.9,3.5,4,3,25.81,Obese,106.8,12.70599251,High
18,Male,87.6,1.93,161,139,72,1.72,1315,HIIT,11.9,3.5,4,3,23.52,Normal,103.2,12.74224806,High
52,Male,82.4,1.72,166,137,53,1.01,685,Strength,24.4,2.7,4,2,27.85,Obese,60.6,11.30363036,High
54,Male,67,1.68,191,164,63,0.55,446,Yoga,20.5,2.8,3,1,23.74,Normal,33,13.51515152,Medium
31,Female,42.3,1.6,163,163,70,1.09,888,Cardio,25.1,1.9,3,2,16.52,Underweight,65.4,13.57798165,High
20,Male,82.7,1.99,179,146,59,1.69,1357,HIIT,14.6,3.5,5,3,20.88,Normal,101.4,13.382643,High
18,Male,92.4,1.74,195,168,50,1.41,1303,Yoga,21.3,3.1,2,1,30.52,Overweight,84.6,15.40189125,High
22,Female,63.2,1.54,191,155,53,1.02,790,Cardio,29.5,2.4,4,2,26.65,Obese,61.2,12.90849673,High
43,Male,82.7,1.85,187,142,50,1.22,858,Yoga,28.2,3.1,4,2,24.16,Normal,73.2,11.72131148,High
31,Male,86.6,1.76,172,151,66,1.29,1071,Strength,28.9,3.3,3,2,27.96,Obese,77.4,13.8372093,High
56,Male,129.5,1.95,160,129,66,1,639,Strength,25.2,3.5,2,1,34.06,Overweight,60,10.65,Medium
44,Male,98,1.83,194,130,56,1.28,824,Cardio,25.7,3.5,4,2,29.26,Obese,76.8,10.72916667,High
26,Male,86.2,1.68,189,157,72,1.97,1701,Strength,13.3,3.5,5,3,30.54,Overweight,118.2,14.39086294,High
32,Male,78.6,1.62,195,125,69,1.28,880,Yoga,29.6,3.1,3,1,29.95,Obese,76.8,11.45833333,High
32,Female,59,1.66,184,160,64,0.51,408,Cardio,31,1.8,2,1,21.41,Normal,30.6,13.33333333,Medium
43,Female,57.3,1.79,175,166,62,1.98,1479,Yoga,17.8,2.7,4,3,17.88,Underweight,118.8,12.44949495,High
59,Male,122.3,1.89,178,153,51,0.66,500,Yoga,20.1,3.1,3,1,34.24,Overweight,39.6,12.62626263,Medium
30,Male,85.3,1.95,160,155,68,1.61,1373,Yoga,10.4,3.5,5,3,22.43,Normal,96.6,14.21325052,High
49,Female,45.2,1.74,164,156,73,1.24,870,Strength,30.8,2.1,3,2,14.93,Underweight,74.4,11.69354839,High
56,Male,55.6,1.92,181,136,62,0.68,458,Strength,29.4,3.2,3,1,15.08,Underweight,40.8,11.2254902,Medium
49,Male,82.8,1.95,183,159,73,1.91,1503,Yoga,14.3,3.5,5,3,21.78,Normal,114.6,13.11518325,High
21,Male,125.2,1.66,196,159,60,1.38,1207,HIIT,29.8,3.4,3,2,45.43,Overweight,82.8,14.57729469,High
47,Female,58.5,1.79,195,131,71,1.42,837,Yoga,30.3,2.4,4,2,18.26,Underweight,85.2,9.823943662,High
54,Male,86.1,1.95,195,140,64,1.17,811,Yoga,27.9,3.4,2,1,22.64,Normal,70.2,11.55270655,High
40,Female,63.5,1.61,163,159,59,1.31,1041,Cardio,33.4,1.6,3,2,24.5,Normal,78.6,13.24427481,High
56,Male,69.3,1.68,195,138,58,0.66,451,Yoga,26.5,2.1,2,1,24.55,Normal,39.6,11.38888889,Medium
32,Female,70.5,1.62,177,122,58,1.24,756,Strength,28.4,1.8,2,1,26.86,Obese,74.4,10.16129032,High
46,Female,60.1,1.65,175,137,69,1.69,1042,Cardio,17.3,2.7,4,3,22.08,Normal,101.4,10.27613412,High
53,Male,94.1,1.95,177,138,50,0.89,608,HIIT,28.6,3.5,3,1,24.75,Normal,53.4,11.38576779,Medium
30,Female,79.2,1.62,181,166,66,1.26,1046,Cardio,28,2.5,4,2,30.18,Overweight,75.6,13.83597884,High
49,Male,115.3,1.91,161,125,61,1.38,854,HIIT,29.2,3.2,2,1,31.61,Overweight,82.8,10.31400966,High
24,Female,62.9,1.79,180,135,59,1.42,958,Cardio,27.3,2.3,4,2,19.63,Normal,85.2,11.24413146,High
39,Male,62,1.64,195,127,54,0.97,678,Cardio,27.5,3.2,3,1,23.05,Normal,58.2,11.64948454,Medium
45,Male,88.5,1.78,198,167,67,1.53,1265,HIIT,13.2,3.5,4,3,27.93,Obese,91.8,13.77995643,High
19,Female,73.9,1.77,198,137,64,1.28,877,Strength,32.5,2.6,3,2,23.59,Normal,76.8,11.41927083,High
59,Male,50.3,1.95,188,167,55,1.07,885,Strength,24.4,3.4,3,1,13.23,Underweight,64.2,13.78504673,High
23,Male,83.1,1.8,185,162,56,0.7,624,Strength,29.3,3.1,3,1,25.65,Obese,42,14.85714286,Medium
45,Female,65.1,1.78,180,158,66,1.46,1038,Cardio,31.3,2.3,3,1,20.55,Normal,87.6,11.84931507,High
45,Male,46.6,1.79,176,168,55,1.46,1214,Yoga,22.9,2.4,3,2,14.54,Underweight,87.6,13.85844749,High
37,Male,103.5,1.89,175,168,57,0.54,499,Cardio,26.4,3.1,2,1,28.97,Obese,32.4,15.40123457,Medium
47,Female,61.9,1.54,190,131,61,1.95,1150,Yoga,16.4,2.7,4,3,26.1,Obese,117,9.829059829,High
28,Female,52,1.61,168,164,70,1.32,1082,Yoga,27.9,2,3,2,20.06,Normal,79.2,13.66161616,High
45,Male,113.4,1.71,190,129,63,0.83,530,Strength,24,2.3,2,1,38.78,Overweight,49.8,10.64257028,Medium
42,Male,62.9,1.98,173,126,61,1.42,886,Yoga,28.5,3.4,4,2,16.04,Underweight,85.2,10.39906103,High
56,Female,40.4,1.8,196,165,72,1.23,913,Cardio,30,2.1,4,2,12.47,Underweight,73.8,12.37127371,High
50,Female,67.1,1.75,161,120,59,0.67,362,Cardio,31.8,2.7,3,1,21.91,Normal,40.2,9.004975124,Medium
18,Male,70,1.61,173,168,71,1.3,1201,Strength,23.9,2.5,2,1,27.01,Obese,78,15.3974359,High
44,Female,69.5,1.75,192,155,69,1.02,711,HIIT,27.6,2.1,3,1,22.69,Normal,61.2,11.61764706,High
30,Male,107.9,1.66,194,140,64,1.08,832,Cardio,29.5,2.8,3,2,39.16,Overweight,64.8,12.83950617,High
58,Male,109,1.91,198,156,56,1.49,1151,Yoga,26,2.2,3,2,29.88,Obese,89.4,12.87472036,High
20,Male,101,1.91,179,143,58,1.36,1070,Cardio,29.3,2.7,3,2,27.69,Obese,81.6,13.1127451,High
56,Male,88.5,1.85,161,144,59,1.57,1119,Cardio,11,3.5,4,3,25.86,Obese,94.2,11.87898089,High
23,Male,80.9,1.8,178,126,59,1.55,1074,Cardio,10.7,3.5,4,3,24.97,Normal,93,11.5483871,High
25,Female,43.1,1.62,196,161,65,1.04,837,HIIT,33.6,1.8,4,2,16.42,Underweight,62.4,13.41346154,High
44,Female,59.1,1.52,177,136,56,1.58,967,Yoga,18.4,2.7,5,3,25.58,Obese,94.8,10.20042194,High
26,Female,54,1.53,175,148,54,1.14,844,Strength,26.9,1.7,3,1,23.07,Normal,68.4,12.33918129,High
54,Female,72.3,1.78,163,149,72,1.27,852,Cardio,27.7,1.8,2,1,22.82,Normal,76.2,11.18110236,High
50,Male,51.1,1.98,171,126,52,0.92,574,Yoga,28,2.4,2,1,13.03,Underweight,55.2,10.39855072,Medium
59,Male,89.4,1.72,188,152,67,1.08,813,Yoga,24.5,3.2,3,1,30.22,Overweight,64.8,12.5462963,High
41,Male,51.5,1.8,166,126,60,1.09,680,Strength,26.7,2.1,4,2,15.9,Underweight,65.4,10.39755352,High
32,Male,87.9,1.88,173,143,64,1.52,1195,Cardio,11.6,3.5,5,3,24.87,Normal,91.2,13.10307018,High
49,Female,42,1.52,171,130,70,1.1,644,HIIT,28.8,2.2,3,1,18.18,Underweight,66,9.757575758,High
49,Male,79.2,1.72,194,128,69,1.46,925,Yoga,29.9,3.3,3,1,26.77,Obese,87.6,10.55936073,High
41,Male,64.8,1.71,164,131,54,1.2,778,Strength,22.5,2.8,3,2,22.16,Normal,72,10.80555556,High
58,Female,63,1.78,176,154,73,1.58,1095,HIIT,17.5,2.7,4,3,19.88,Normal,94.8,11.55063291,High
29,Female,56.2,1.77,191,123,61,0.68,418,Yoga,33.4,2.6,3,1,17.94,Underweight,40.8,10.24509804,Medium
56,Female,52.9,1.64,169,155,53,1.1,767,Cardio,27.4,2.3,3,2,19.67,Normal,66,11.62121212,High
19,Female,49,1.69,176,147,64,1.05,772,Yoga,29.2,2.4,3,1,17.16,Underweight,63,12.25396825,High
20,Male,128.2,1.84,164,132,58,0.83,603,HIIT,26.2,2.3,3,1,37.87,Overweight,49.8,12.10843373,Medium
54,Male,83.6,1.86,168,142,56,1.54,1082,HIIT,12.4,3.5,5,3,24.16,Normal,92.4,11.70995671,High
34,Female,56.2,1.77,192,138,59,1.81,1249,Cardio,17.3,2.7,5,3,17.94,Underweight,108.6,11.50092081,High
19,Male,87.8,1.78,195,161,72,1.28,1133,Cardio,23.6,3.3,2,1,27.71,Obese,76.8,14.75260417,High
19,Male,85.9,1.85,195,156,62,1.66,1424,Strength,12.9,3.5,4,3,25.1,Obese,99.6,14.29718876,High
45,Male,51.1,1.87,177,158,57,1.44,1126,Cardio,26.2,3.4,4,2,14.61,Underweight,86.4,13.03240741,High
40,Female,57.4,1.71,168,143,61,1.87,1337,Strength,18.3,2.7,5,3,19.63,Normal,112.2,11.91622103,High
54,Male,114.9,1.92,188,135,71,1.2,802,HIIT,20.7,2.6,4,2,31.17,Overweight,72,11.13888889,High
49,Female,62.1,1.66,173,152,73,1.37,937,HIIT,31.3,1.8,3,2,22.54,Normal,82.2,11.39902676,High
50,Male,57.1,1.91,184,131,68,1.09,707,Yoga,29.5,2.7,4,2,15.65,Underweight,65.4,10.81039755,High
18,Male,68.1,1.8,174,153,50,1.1,926,Yoga,25.4,3.3,4,2,21.02,Normal,66,14.03030303,High
36,Male,69.2,1.65,165,126,65,1.23,852,Strength,27.2,2.7,3,1,25.42,Obese,73.8,11.54471545,High
19,Female,65.2,1.52,188,130,71,1.23,800,Cardio,30.6,2.4,3,1,28.22,Obese,73.8,10.8401084,High
43,Male,108.6,1.73,174,150,66,1.33,988,Cardio,28.5,2.2,2,1,36.29,Overweight,79.8,12.38095238,High
49,Female,40,1.65,188,148,74,1.03,686,Yoga,34.3,2.5,3,2,14.69,Underweight,61.8,11.10032362,High
23,Female,41.9,1.58,163,132,67,0.56,370,HIIT,26.8,1.8,3,1,16.78,Underweight,33.6,11.01190476,Medium
49,Female,68.3,1.52,177,150,60,1.45,979,Strength,29.4,1.8,4,2,29.56,Obese,87,11.25287356,High
21,Male,88.4,1.6,198,121,67,1.71,1138,HIIT,12,3.5,4,3,34.53,Overweight,102.6,11.09161793,High
28,Male,66,1.9,175,158,56,1.18,1025,HIIT,24.1,3,3,1,18.28,Underweight,70.8,14.47740113,High
34,Male,71.9,1.64,170,134,67,1.26,929,Cardio,21.3,2.1,4,2,26.73,Obese,75.6,12.28835979,High
55,Male,75.6,1.71,173,130,57,1.03,663,Strength,28.1,2,4,2,25.85,Obese,61.8,10.72815534,High
41,Female,63.4,1.59,162,153,55,1.84,1267,HIIT,15.2,2.7,5,3,25.08,Obese,110.4,11.47644928,High
22,Female,71.6,1.77,197,158,56,1.49,1177,Yoga,30.3,1.8,3,1,22.85,Normal,89.4,13.1655481,High
51,Female,57.4,1.77,177,123,72,1.08,598,Yoga,31.6,2.1,4,2,18.32,Underweight,64.8,9.228395062,High
23,Male,83.8,1.99,179,130,71,1.79,1280,Cardio,11,3.5,4,3,21.16,Normal,107.4,11.91806331,High
39,Female,55.9,1.71,184,148,59,1.95,1443,Yoga,19.5,2.7,5,3,19.12,Normal,117,12.33333333,High
28,Male,87,1.76,197,121,60,1.2,799,Yoga,28.4,3.5,3,2,28.09,Obese,72,11.09722222,High
33,Female,65.3,1.71,172,135,74,1.18,796,HIIT,29.7,2.5,4,2,22.33,Normal,70.8,11.24293785,High
50,Male,45.4,1.67,163,158,62,1.37,1071,Yoga,24.1,2.8,4,2,16.28,Underweight,82.2,13.02919708,High
26,Male,87.1,1.87,173,132,58,1.71,1241,Yoga,11.2,3.5,4,3,24.91,Normal,102.6,12.09551657,High
23,Female,78.6,1.73,192,156,56,1.47,1147,HIIT,32.3,1.5,4,2,26.26,Obese,88.2,13.00453515,High
33,Female,78,1.71,187,136,58,1.08,734,Cardio,26.3,2.1,3,1,26.67,Obese,64.8,11.32716049,High
46,Female,58,1.53,196,140,62,1.83,1153,Cardio,18.4,2.7,4,3,24.78,Normal,109.8,10.50091075,High
20,Female,71.3,1.69,167,163,52,1.28,1043,Strength,33.4,2.3,3,2,24.96,Normal,76.8,13.58072917,High
37,Male,49.1,1.74,193,138,52,1.11,842,Yoga,22.3,2.6,3,2,16.22,Underweight,66.6,12.64264264,High
53,Female,78.3,1.65,164,126,50,1.24,703,HIIT,33.7,1.6,3,1,28.76,Obese,74.4,9.448924731,High
36,Female,57.3,1.64,164,157,70,1.13,887,Strength,25.3,1.8,4,2,21.3,Normal,67.8,13.08259587,High
43,Female,48.4,1.61,190,127,69,1.28,732,Cardio,34.1,2.4,2,1,18.67,Normal,76.8,9.53125,High
20,Male,76.4,1.62,168,132,51,1.35,980,Cardio,21.2,2.6,4,2,29.11,Obese,81,12.09876543,High
36,Male,110.2,1.77,191,156,74,1.19,1021,HIIT,26.5,3.4,2,1,35.18,Overweight,71.4,14.29971989,High
37,Female,72.9,1.76,192,121,52,1.21,732,Strength,27.5,1.9,3,2,23.53,Normal,72.6,10.08264463,High
